1758+388    337.1    26.0	 283.3
1800+440    207.3    10.1	 210.9
1803+784    275.5     5.6	 271.9
1807+698    252.5     3.9	 258.2
1811+062    286.8    17.9	 299.7
1823+568    198.9     3.1	 200.1
1827+062    314.9     6.4	 320.5
1827+133    126.5     9.4	 126.9
1828+487    314.6     7.2	 314.8
1833+326     53.4     2.0	  58.2
1842+681    132.7     2.6	 135.2
1845+797    321.8     3.0	 321.4
1846+322    313.5     6.2	 325.3
1846+326    112.0     0.8	 120.4
1849+670    321.3    12.3	 319.7
1851+488     46.6     5.0	  37.5
1856+737      0.0     0.0	  18.9
1901+319    109.3     4.8	 118.2
1902+556     29.1     6.7	  35.8
1908-201      4.4    11.7	  12.7
1914-194    340.5     3.5	 337.0
1920-211    350.7    10.9	 348.8
1921-293    325.2    12.9	   1.1
1923+123    359.8     4.3	  10.2
1923+210    244.8     6.7	 245.6
1926+611    120.2    10.3	 128.8
1928+738    158.7     5.1	 157.9
1936-155    121.8     9.5	 130.7
1944+838    259.5     2.5	 266.4
1951-115    354.7    12.4	   6.8
1954+513    300.2     5.1	 298.3
1957+405    281.3     8.3	 276.9
1958-179     90.0    26.3	 118.1
1959+650    140.9    20.1	  71.4
2005+403    108.9    14.4	 103.2
2007+777    268.3     4.7	 265.8
2008-159     12.7    10.5	  10.0
2010+463    340.3    22.3	 319.8
2012-017      0.0     0.0	  46.1
2013-092      0.0     0.0	  82.7
2013+163    258.8     7.2	 293.2
2013+370    219.2    11.9	 210.3
2021+317    134.6     8.3	 165.8
2021+614     23.8     9.6	  24.7
2022-077    352.4     4.1	 351.6
2022+171      0.0     0.0	 106.3
2023+335      0.0     0.0	 338.2
2023+760      0.0     0.0	 221.1
2027-065      0.0     0.0	 247.8
2028+492    358.1    42.9	  12.2
2029+121    214.1     8.8	 201.9
2031+216      0.0     0.0	  86.4
2032+107    222.3     4.0	 217.0
2037+511    208.1    14.8	 217.6
2043+749    158.2     1.2	 158.2
2047+039    330.9     2.0	 312.2
2047+098    327.2     6.5	 309.9
2100+468    235.4    11.6	 235.3
2113+293    187.8    12.6	 193.1
2115+000      0.0     0.0	 319.2
2121+053    238.0    14.5	 253.0
2128-123    210.3     4.2	 208.7
2131-021     94.8     7.0	 101.5
2134+004    324.2     6.0	 290.9
2136+141    308.1     6.8	 279.8
2141+175    277.1    12.5	 307.6
2144+092     79.6     7.5	  79.0
2145+067    103.1    19.5	 124.7
2150+173    273.6    14.9	 277.1
2155-152    212.8     7.4	 214.7
2155+312     70.5    16.9	  21.7
2157+102     47.2     4.2	  42.8
2157+213      0.0     0.0	  45.8
2159+505      0.0     0.0	 288.4
2200+420    192.4     6.8	 190.4
2201+171     42.1    12.9	  50.1
2201+315    205.3    10.7	 201.1
2209+236     39.1     6.7	  36.4
2210+277      0.0     0.0	 187.7
2216-038    192.8     5.3	 192.7
2216+178     57.5     3.0	  56.9
2223-052    104.6    26.0	 102.0
2223+210    256.9     6.5	 241.0
2227-088    345.2    18.9	 342.3
2230+114    123.8    13.5	 137.0
2233-148    105.8    10.4	 107.7
2234+282     33.6    15.1	  41.0
2241+406    127.2     9.0	 137.2
2243-123      3.7    26.8	 359.6
2247-283    161.6     4.2	 161.7
2251+158    270.8    14.0	 273.3
2254+074    224.7     3.2	 232.7
2255-282    208.1    37.6	 211.8
2258-022    264.3     0.9	 273.2
2308+341      5.3     7.9	   8.0
2319+317    152.4     2.6	 214.2
2320-035    326.2     9.2	 335.2
2325+093    278.9     3.0	 258.4
2331+073    249.3     9.4	 242.4
2342-161    333.1     6.1	 315.7
2344+514    136.0     6.3	 141.0
2345-167    124.9     9.2	 122.6
2351+456    262.7    18.1	 279.0
2353+816    321.4    14.2	 324.2
2356+196    243.8     4.9	 222.5
